<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01/04/19;000000;191.6300000;191.6600000;188.3900000;191.2100000;1624761
02/04/19;000000;191.1300000;194.4600000;191.1100000;194.0400000;1367821
03/04/19;000000;193.2800000;196.5000000;193.1900000;195.3600000;1410875
04/04/19;000000;194.8400000;196.3700000;194.8000000;195.7200000;1165086
05/04/19;000000;196.4500000;197.0700000;195.9600000;197.0600000;1070564
08/04/19;000000;196.4200000;200.2100000;196.3700000;200.0800000;1109622
09/04/19;000000;200.3700000;202.8500000;199.2400000;199.6000000;1698985
10/04/19;000000;198.7600000;200.7300000;198.1800000;200.6500000;1121838
11/04/19;000000;200.7900000;200.9200000;198.4600000;198.9400000;1307602
12/04/19;000000;199.2000000;200.1200000;196.2400000;198.8900000;1769339
15/04/19;000000;198.6000000;199.8200000;198.0100000;199.2300000;1053777
16/04/19;000000;199.3900000;201.3600000;198.5600000;199.2500000;1781284
17/04/19;000000;199.3000000;203.3800000;198.6400000;203.1600000;1723528
18/04/19;000000;203.2100000;204.1400000;202.5200000;203.8500000;1260916
22/04/19;000000;202.6700000;204.9400000;202.3700000;204.6300000;988441
23/04/19;000000;204.4800000;207.7500000;203.9100000;207.5000000;1480636
24/04/19;000000;207.2600000;208.4800000;207.0500000;207.0900000;1084237
25/04/19;000000;206.8300000;207.7400000;205.1300000;205.2200000;1377503
26/04/19;000000;204.8900000;204.9400000;202.1200000;204.2900000;1359337
29/04/19;000000;204.3300000;205.9700000;203.9000000;204.5900000;1057906
30/04/19;000000;203.0000000;203.3900000;199.1400000;200.5700000;2311233
01/05/19;000000;210.1200000;215.3100000;209.2500000;210.5700000;3182386
02/05/19;000000;209.6500000;212.6300000;208.1800000;209.1800000;1956418
03/05/19;000000;210.7300000;211.7900000;210.2300000;211.7200000;1157094
06/05/19;000000;204.1700000;208.8300000;203.5300000;208.5200000;1830729
07/05/19;000000;205.8900000;207.3900000;200.8400000;202.8900000;1831645
08/05/19;000000;202.0600000;205.3300000;201.7600000;202.9000000;1286385
09/05/19;000000;200.5300000;201.6800000;196.6700000;200.6800000;1904162
10/05/19;000000;197.4400000;198.8100000;192.7700000;197.3000000;2455083
13/05/19;000000;187.5000000;189.4800000;184.7200000;185.7100000;2101071
14/05/19;000000;186.3700000;189.7000000;185.4100000;188.6200000;1579746
15/05/19;000000;186.2800000;191.7400000;186.0200000;190.9500000;1454345
16/05/19;000000;189.6500000;192.4600000;188.8400000;190.1500000;1423772
17/05/19;000000;186.7600000;190.8800000;186.7600000;188.9600000;1402633
20/05/19;000000;183.5100000;184.3400000;180.3200000;183.0900000;1753819
21/05/19;000000;185.2100000;187.9900000;184.7100000;186.6000000;1318184
22/05/19;000000;184.5900000;185.7100000;182.5700000;182.7700000;1564113
23/05/19;000000;179.8000000;180.5300000;177.8100000;179.6700000;1814393
